NA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,164,SI,SI,NO,NA,No responde,52,No,BLANCO,0.7,13.0,BLANCO,NO,SI,No,180,0,NO,No,SI,No,no,No,NO,0%,NO LO CONOCE,"56,66",SI,NO
,167,SI,NO,NO,NA,No responde,52,No,BLANCO,0.7,13.0,BLANCO,NO,BLANCO,No,150,0,NR,No,NO HAY,No,blanco,No,NO,NR,NO LO CONOCE,"61,37",SI,NR
,172,SI,SI,NO,NA,No Tienen,52,No,BLANCO,0.7,13.0,BLANCO,NO,NO,No,200,0,NO,No,ND,No,no,No,NO,NA,NO LO CONOCE,"58,46",SI,NO
,175,SI,SI,NO,NA,No responde,52,No,BLANCO,0.7,13.0,BLANCO,SI,NO,No,190,0,NO,No,ND,No,si,No,NO,0%,NO LO CONOCE,"58,46",SI,NO
,203,SI,SI,NO,NA,No responde,63,No,BLANCO,0.7,18.5,BLANCO,NO,NO,No,175,0,NO,No,ND,No,si,No,NO,< 10%,NO LO CONOCE,"64,60",SI,NO
,213,SI,NO,NO,NA,No responde,81,No,Está la respuesta para la pregunta: presencia de botaderos clandestinos de basura,0.8,28.8,no conoce dado,NO,NO,No,250,197,NO,No,ND,No,no,No,NO,a. > 10%,NO LO CONOCE,"64,60",SI,NO
,225,SI,NO,NO,NA,L= 100%,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,SI,Sí,170,2338,NO,No,SI,No,si,No,NO,0%,NO LO CONOCE,"62,73",SI,SI
,226,SI,SI,NO,NA,No responde,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,150,1909,NO,No,ND,No,no,No,NO,0%,NO LO CONOCE,"51,38",NO,NO
,231,SI,SI,NO,NA,No Tienen,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,205,0,NO,No,ND,No,NA,No,NO,< 10%,NO LO CONOCE,"51,38",NO,NO
,234,SI,SI,NO,NA,No responde,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,160,0,NO,No,SI,No,no,No,NO,< 10%,NO LO CONOCE,"57,91",NO,NO
,239,SI,SI,NO,NA,No responde,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,201,0,NO,No,SI,No,si,No,NO,ND,NO LO CONOCE,"51,38",NO,NO
,241,SI,SI,NO,NA,No responde,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,270,0,NO,No,SI,No,si,No,NO,0%,NO LO CONOCE,"62,73",SI,NO
