,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
155,1.000,0.000,1.000,1.000,0.991,0.407,1.000,0.000,0.330,0.996,0.275,1.000,1.000,1.000,0.540,1.000,1.000,0.000,1.000,0.000,1.000,1.000,0.014,0.986,0.240,1.000,1.000,0.945
162,0.000,0.000,1.000,1.000,0.991,0.407,1.000,0.000,0.330,0.996,0.275,1.000,1.000,1.000,0.055,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.945,0.986,0.240,1.000,1.000,0.945
