Indicador_ID,Pendiente,Ordenada
5,9.460549772,-4.730274886
6,0.094605498,-4.730274886
9,-7.095412329,5.676329863
10,0.019800093,-5.522126992
11,0.002027261,-4.662699531
15,-0.056763299,14.19082466
23,-14.19082466,4.257247398
24,-14.19082466,4.257247398
25,0.141908247,-7.095412329
