Asada_ID,Ubicación,Telefono,Poblacion,Url,CantAbonados
152,"Contiguo a la plaza de Santiago, Paraíso, Cartago",0,3225,no,733
153,"Provincia de Cartago, Paraíso, Orosi",72781464,2068,no,470
151,"Contiguo a la iglesia de San Jeronimo, Cachí, Cartago",0,620,no,141
