AÑO,INDICADOR_ID,ASADA_ID,VALOR,TEXTO
2019,9,3023A,0.981,78
2019,10,3023A,0.991,3
2019,11,3023A,1,NO
2019,12,3023A,1,NO
2019,13,3023A,1,NO
2019,14,3023A,0.034,190
2019,15,3023A,1,NO
2019,16,3023A,1,NO
2019,17,3023A,1,NO
2019,18,3023A,0,SI
2019,19,3023A,0,SI
2019,20,3023A,1,NO
2019,21,3023A,1,NO
2019,22,3023A,0.014,<10
2019,23,3023A,0.986,>40
2019,24,3023A,0.257,57.44
2019,25,3023A,1,NO
2019,26,3023A,1,NO
2019,27,3023A,1,SI
2019,28,3023A,1,SI
2019,29,3023A,0,NO
2019,30,3023A,1,SI
2019,1,30511A,1,NO
2019,2,30511A,1,NO
2019,3,30511A,1,NO
2019,4,30511A,1,NO
2019,5,30511A,0.991,0
2019,6,30511A,0.634,44
2019,7,30511A,1,NO
2019,8,30511A,0.174,0.58
2019,9,30511A,0.909,161
2019,10,30511A,0.991,0
2019,11,30511A,1,NO
2019,12,30511A,1,NO
2019,13,30511A,1,NO
2019,14,30511A,0.058,200
2019,15,30511A,1,NO
2019,16,30511A,1,NO
2019,17,30511A,1,NO
2019,18,30511A,0,SI
2019,19,30511A,1,NO
2019,20,30511A,1,NO
2019,21,30511A,1,NO
2019,22,30511A,0.014,<10
2019,23,30511A,0.986,>40
2019,24,30511A,0.297,56.04
2019,25,30511A,1,NO
2019,26,30511A,1,NO
2019,27,30511A,0,NO
2019,28,30511A,1,SI 
2019,29,30511A,1,SI
2019,30,30511A,1,SI
2019,1,3082B,1,NO
2019,2,3082B,1,NO
2019,3,3082B,0,SI
2019,4,3082B,1,NO
2019,5,3082B,0.805,<50
2019,6,3082B,0.045,82
2019,7,3082B,1,NO
2019,8,3082B,0.243,0.64
2019,9,3082B,0.992,33
2019,10,3082B,0.991,0
2019,11,3082B,1,NO
2019,12,3082B,1,NO
2019,13,3082B,1,NO
2019,14,3082B,0.011,170
2019,15,3082B,1,NO
2019,16,3082B,1,NO
2019,17,3082B,0,SI
2019,18,3082B,0,SI
2019,19,3082B,0,SI
2019,20,3082B,0,SI
2019,21,3082B,1,NO
2019,22,3082B,0.014,<10
2019,23,3082B,0.986,>40
2019,24,3082B,0.414,52.4
2019,25,3082B,1,NO
2019,26,3082B,1,NO
2019,27,3082B,1,SI
2019,28,3082B,1,SI
2019,29,3082B,0,NO
2019,30,3082B,1,SI
2019,1,3082C,1,NO
2019,2,3082C,1,NO
2019,3,3082C,0,SI
2019,4,3082C,1,NO
2019,5,3082C,0.805,<50
2019,6,3082C,0.045,82
2019,7,3082C,1,NO
2019,8,3082C,0.243,0.64
2019,9,3082C,0.992,33
2019,10,3082C,0.991,0
2019,11,3082C,0,SI
2019,12,3082C,0,SI
2019,13,3082C,1,NO
2019,14,3082C,0.034,190
2019,15,3082C,1,NO
2019,16,3082C,1,NO
2019,17,3082C,1,NO
2019,18,3082C,0,SI
2019,19,3082C,0,SI
2019,20,3082C,1,NO
2019,21,3082C,1,NO
2019,22,3082C,0.014,<10
2019,23,3082C,0.986,>40
2019,24,3082C,0.414,52.4
2019,25,3082C,1,NO
2019,26,3082C,1,NO
2019,27,3082C,0,NO
2019,28,3082C,1,SI
2019,29,3082C,0,NO
2019,30,3082C,0,NO
2019,1,3082D,1,NO
2019,2,3082D,1,NO
2019,3,3082D,0,SI
2019,4,3082D,1,NO
2019,5,3082D,0.805,<50
2019,6,3082D,0.045,82
2019,7,3082D,1,NO
2019,8,3082D,0.243,0.64
2019,9,3082D,0.992,33
2019,10,3082D,0.991,0
2019,11,3082D,1,NO
2019,12,3082D,1,NO
2019,13,3082D,1,NO
2019,14,3082D,0.034,190
2019,15,3082D,1,NO
2019,16,3082D,1,NO
2019,17,3082D,1,NO
2019,18,3082D,0,SI
2019,19,3082D,0,SI 
2019,20,3082D,1,NO
2019,21,3082D,1,NO
2019,22,3082D,0.014,<10
2019,23,3082D,0.986,>40
2019,24,3082D,0.414,52.4
2019,25,3082D,1,NO
2019,26,3082D,1,NO
2019,27,3082D,1,SI
2019,28,3082D,1,SI
2019,29,3082D,0,NO
2019,30,3082D,1,SI
2019,1,3074A,1,NO
2019,2,3074A,1,NO
2019,3,3074A,0,SI
2019,4,3074A,1,NO
2019,5,3074A,0.805,<50
2019,6,3074A,0.015,94
2019,7,3074A,1,NO
2019,8,3074A,0.447,0.77
2019,9,3074A,0.989,51
2019,10,3074A,0.991,4
2019,11,3074A,1,NO
2019,12,3074A,1,NO
2019,13,3074A,1,NO
2019,14,3074A,0.034,190
2019,15,3074A,1,NO
2019,16,3074A,1,NO
2019,17,3074A,0,SI
2019,18,3074A,0,SI
2019,19,3074A,1,NO
2019,20,3074A,1,NO
2019,21,3074A,1,NO
2019,22,3074A,0.014,<10
2019,23,3074A,0.986,>40
2019,24,3074A,0.251,57.65
2019,25,3074A,1,NO
2019,26,3074A,1,NO
2019,27,3074A,0,NO
2019,28,3074A,1,SI
2019,29,3074A,1,SI
2019,30,3074A,1,SI
2019,1,3072A,1,NO
2019,2,3072A,1,NO
2019,3,3072A,0,SI
2019,4,3072A,1,NO
2019,5,3072A,0.195,>50
2019,6,3072A,0.015,94
2019,7,3072A,1,NO
2019,8,3072A,0.447,0.77
2019,9,3072A,0.989,51
2019,10,3072A,0.991,4
2019,11,3072A,1,NO
2019,12,3072A,1,NO
2019,13,3072A,1,NO
2019,14,3072A,0.019,180
2019,15,3072A,1,NO
2019,16,3072A,1,NO
2019,17,3072A,0,SI
2019,18,3072A,0,SI
2019,19,3072A,0,SI
2019,20,3072A,1,NO
2019,21,3072A,1,NO
2019,22,3072A,0.014,<10
2019,23,3072A,0.5,<40
2019,24,3072A,0.19,60.17
2019,25,3072A,1,NO
2019,26,3072A,1,NO
2019,27,3072A,1,SI
2019,28,3072A,1,SI
2019,29,3072A,1,SI
2019,30,3072A,1,SI
2019,1,3073A,1,NO
2019,2,3073A,1,NO
2019,3,3073A,0,SI
2019,4,3073A,1,NO
2019,5,3073A,0.805,<50
2019,6,3073A,0.015,94
2019,7,3073A,1,NO
2019,8,3073A,0.447,0.77
2019,9,3073A,0.989,51
2019,10,3073A,0.991,4
2019,11,3073A,1,NO
2019,12,3073A,1,NO
2019,13,3073A,1,NO
2019,14,3073A,0.034,190
2019,15,3073A,1,NO
2019,16,3073A,1,NO
2019,17,3073A,1,NO
2019,18,3073A,0,SI
2019,19,3073A,0,SI 
2019,20,3073A,1,NO
2019,21,3073A,1,NO
2019,22,3073A,0.014,<10
2019,23,3073A,0.986,>40
2019,24,3073A,0.291,56.25
2019,25,3073A,1,NO
2019,26,3073A,1,NO
2019,27,3073A,0,NO
2019,28,3073A,1,SI
2019,29,3073A,1,SI
2019,30,3073A,1,SI
2019,1,3014A,1,NO
2019,2,3014A,1,NO
2019,3,3014A,0,SI
2019,4,3014A,1,NO
2019,5,3014A,0.805,<50
2019,6,3014A,0.02,91
2019,7,3014A,1,NO
2019,8,3014A,0.314,0.69
2019,9,3014A,0.984,70
2019,10,3014A,0.991,0
2019,11,3014A,1,NO 
2019,12,3014A,1,NO 
2019,13,3014A,1,NO 
2019,14,3014A,0.034,190
2019,15,3014A,1,NO 
2019,16,3014A,1,NO 
2019,17,3014A,1,NO 
2019,18,3014A,0,SI
2019,19,3014A,0,SI 
2019,20,3014A,1,NO 
2019,21,3014A,1,NO 
2019,22,3014A,0.014,<10
2019,23,3014A,0.986,>40
2019,24,3014A,0.06,69.36
2019,25,3014A,1,NO
2019,26,3014A,1,NO
2019,27,3014A,0,NO 
2019,28,3014A,1,SI
2019,29,3014A,1,SI
2019,30,3014A,1,SI
2019,1,3075B,1,NO
2019,2,3075B,1,NO
2019,3,3075B,0,SI
2019,4,3075B,1,NO
2019,5,3075B,0.805,<50
2019,6,3075B,0.015,94
2019,7,3075B,1,NO
2019,8,3075B,0.447,0.77
2019,9,3075B,0.989,51
2019,10,3075B,0.991,4
2019,11,3075B,1,NO
2019,12,3075B,1,NO
2019,13,3075B,1,NO
2019,14,3075B,0.034,190
2019,15,3075B,1,NO
2019,16,3075B,1,NO
2019,17,3075B,1,NO
2019,18,3075B,0,SI
2019,19,3075B,1,NO
2019,20,3075B,1,NO
2019,21,3075B,1,NO
2019,22,3075B,0.014,<10
2019,23,3075B,0.986,>40
2019,24,3075B,0.204,59.57
2019,25,3075B,1,NO
2019,26,3075B,1,NO
2019,27,3075B,0,NO
2019,28,3075B,1,SI
2019,29,3075B,1,SI
2019,30,3075B,1,SI
2019,1,3022B,1,NO
2019,2,3022B,1,NO
2019,3,3022B,0,SI
2019,4,3022B,1,NO
2019,5,3022B,0.805,<50
2019,6,3022B,0.028,87
2019,7,3022B,1,NO
2019,8,3022B,0.362,0.72
2019,9,3022B,0.981,78
2019,10,3022B,0.991,3
2019,11,3022B,1,NO
2019,12,3022B,1,NO
2019,13,3022B,1,NO
2019,14,3022B,0.034,190
2019,15,3022B,1,NO
2019,16,3022B,1,NO
2019,17,3022B,1,NO
2019,18,3022B,0,SI
2019,19,3022B,0,SI
2019,20,3022B,1,NO
2019,21,3022B,1,NO
2019,22,3022B,0.014,<10
2019,23,3022B,0.986,>40
2019,24,3022B,0.321,55.23
2019,25,3022B,1,NO
2019,26,3022B,1,NO
2019,27,3022B,0,NO
2019,28,3022B,0,NO
2019,29,3022B,1,SI
2019,30,3022B,1,SI
2019,1,3024A,1,NO
2019,2,3024A,1,NO
2019,3,3024A,1,NO
2019,4,3024A,1,NO
2019,5,3024A,0.805,<50
2019,6,3024A,0.028,87
2019,7,3024A,1,NO
2019,8,3024A,0.362,0.72
2019,9,3024A,0.981,78
2019,10,3024A,0.991,3
2019,11,3024A,1,NO
2019,12,3024A,1,NO
2019,13,3024A,1,NO
2019,14,3024A,0.034,190
2019,15,3024A,1,NO
2019,16,3024A,1,NO
2019,17,3024A,1,NO
2019,18,3024A,0,SI
2019,19,3024A,0,SI
2019,20,3024A,1,NO
2019,21,3024A,1,NO
2019,22,3024A,0.014,<10
2019,23,3024A,0.986,>40
2019,24,3024A,0.099,65.53
2019,25,3024A,1,NO
2019,26,3024A,1,NO
2019,27,3024A,0,NO
2019,28,3024A,0,NO
2019,29,3024A,1,SI
2019,30,3024A,1,SI
2019,1,3023B,1,NO
2019,2,3023B,1,NO
2019,3,3023B,0,SI
2019,4,3023B,1,NO
2019,5,3023B,0.805,<50
2019,6,3023B,0.028,87
2019,7,3023B,1,NO
2019,8,3023B,0.362,0.72
2019,9,3023B,0.981,78
2019,10,3023B,0.991,3
2019,11,3023B,1,NO
2019,12,3023B,1,NO
2019,13,3023B,1,NO
2019,14,3023B,0.034,190
2019,15,3023B,1,NO
2019,16,3023B,1,NO
2019,17,3023B,1,NO
2019,18,3023B,0,SI
2019,19,3023B,0,SI
2019,20,3023B,1,NO
2019,21,3023B,1,NO
2019,22,3023B,0.014,<10
2019,23,3023B,0.986,>40
2019,24,3023B,0.257,57.44
2019,25,3023B,1,NO
2019,26,3023B,1,NO
2019,27,3023B,1,SI
2019,28,3023B,1,SI
2019,29,3023B,0,NO
2019,30,3023B,0,NO
